strain	date	accession	country	region
A/Michigan/450/2019	2019-09-25	MN755385	USA	N
A/Michigan/452/2019	2019-10-14	MN820187	USA	N
A/Michigan/458/2019	2019-11-23	MT031379	USA	N
A/Michigan/46/2017	2017-03-27	CY233448	USA	N
A/Michigan/460/2019	2019-12-02	MT031395	USA	N
A/Michigan/47/2016	2016-03-07	KX415544	USA	N
A/Michigan/47/2017	2017-03-30	CY233400	USA	N
A/Michigan/47/2018	2018-02-17	MH246567	USA	N
A/Michigan/48/2017	2017-04-03	CY233408	USA	N
A/Michigan/51/2016	2016-03-15	KY044147	USA	N
A/Michigan/51/2017	2017-03-30	CY228933	USA	N
A/Michigan/52/2015	2015-09-14	KU589928	USA	N
A/Michigan/52/2017	2017-04-06	CY232602	USA	N
A/Michigan/52/2018	2018-03-11	MH307063	USA	N
A/Michigan/53/2017	2017-04-16	CY232610	USA	N
A/Michigan/53/2018	2018-02-15	MH358710	USA	N
A/Michigan/54/2017	2017-04-10	CY238593	USA	N
A/Michigan/55/2015	2015-09-18	KU589588	USA	N
A/Michigan/57/2017	2017-04-17	CY234698	USA	N
A/Michigan/57/2018	2018-03-09	MK027603	USA	N
A/Michigan/58/2015	2015-10-04	KU591900	USA	N
A/Michigan/58/2017	2017-05-01	CY234706	USA	N
A/Michigan/59/2016	2016-02-22	KX416160	USA	N
A/Michigan/60/2015	2015-10-05	KX003370	USA	N
A/Michigan/62/2015	2015-09-29	KU591300	USA	N
A/Michigan/64/2016	2016-03-03	KX416368	USA	N
A/Michigan/65/2016	2016-03-04	KX416376	USA	N
A/Michigan/66/2015	2015-10-15	KX413303	USA	N
A/Michigan/66/2016	2016-03-15	KX416760	USA	N
A/Michigan/67/2015	2015-10-10	KX413311	USA	N
A/Michigan/69/2016	2016-03-31	KX917396	USA	N
A/Michigan/70/2016	2016-04-04	KX416768	USA	N
A/Michigan/72/2018	2018-03-24	MH845966	USA	N
A/Michigan/74/2018	2018-04-04	MK241316	USA	N
A/Michigan/77/2015	2015-11-15	KX413729	USA	N
A/Michigan/77/2018	2018-04-16	MH600554	USA	N
A/Michigan/78/2015	2015-12-14	KX413737	USA	N
A/Michigan/78/2016	2016-05-21	KY115958	USA	N
A/Michigan/78/2018	2018-04-16	MH600833	USA	N
A/Michigan/81/2016	2016-07-12	KY003555	USA	N
A/Michigan/85/2018	2018-05-18	MH600534	USA	N
A/Michigan/98/2016	2016-08-21	KX916916	USA	N
A/Minnesota/01/2015	2015-01-04	KT841630	USA	N
A/Minnesota/01/2018	2018-01-03	MH845968	USA	N
A/Minnesota/02/2015	2015-01-07	KT841133	USA	N
A/Minnesota/04/2018	2018-01-05	MH082476	USA	N
A/Minnesota/04/2019	2019-01-14	MK745336	USA	N
A/Minnesota/05/2017	2017-01-19	CY216689	USA	N
A/Minnesota/07/2017	2017-01-24	CY216697	USA	N
A/Minnesota/08/2019	2019-01-26	MK744384	USA	N
A/Minnesota/09/2016	2016-01-20	KX414241	USA	N
A/Minnesota/09/2018	2018-01-21	MH126953	USA	N
A/Minnesota/10/2019	2019-02-07	MK857145	USA	N
A/Minnesota/11/2019	2019-02-10	MK857151	USA	N
A/Minnesota/13/2017	2017-02-17	CY222893	USA	N
A/Minnesota/13/2018	2018-02-01	MH586140	USA	N
A/Minnesota/15/2018	2018-02-05	MH586148	USA	N
A/Minnesota/15/2019	2019-03-02	MK857162	USA	N
A/Minnesota/16/2017	2017-03-04	CY225254	USA	N
A/Minnesota/17/2017	2017-03-05	CY225246	USA	N
A/Minnesota/18/2018	2018-02-21	MH246583	USA	N
A/Minnesota/19/2018	2018-02-23	MH246591	USA	N
A/Minnesota/20/2017	2017-03-15	CY227814	USA	N
A/Minnesota/22/2019	2019-03-24	MN222541	USA	N
A/Minnesota/23/2015	2015-02-19	KT842280	USA	N
A/Minnesota/23/2017	2017-03-28	CY228901	USA	N
A/Minnesota/24/2017	2017-03-28	CY228909	USA	N
A/Minnesota/24/2018	2018-03-19	MH358718	USA	N
A/Minnesota/24/2019	2019-03-30	MN222549	USA	N
A/Minnesota/25/2015	2015-04-01	KT843469	USA	N
A/Minnesota/25/2019	2019-04-07	MN084736	USA	N
A/Minnesota/26/2015	2015-04-02	KT843387	USA	N
A/Minnesota/26/2017	2017-04-12	CY232586	USA	N
A/Minnesota/26/2019	2019-04-08	MN084744	USA	N
A/Minnesota/27/2015	2015-04-12	KT843370	USA	N
A/Minnesota/27/2018	2018-03-28	MH600844	USA	N
A/Minnesota/28/2015	2015-04-21	KT843478	USA	N
A/Minnesota/28/2016	2016-02-28	KX415576	USA	N
A/Minnesota/28/2017	2017-04-24	CY234690	USA	N
A/Minnesota/29/2015	2015-05-16	KT844324	USA	N
A/Minnesota/29/2017	2017-04-29	CY234682	USA	N
A/Minnesota/30/2015	2015-05-18	KT844383	USA	N
A/Minnesota/31/2017	2017-05-13	CY235816	USA	N
A/Minnesota/32/2017	2017-05-12	CY235968	USA	N
A/Minnesota/33/2017	2017-05-15	CY235976	USA	N
A/Minnesota/33/2018	2018-04-24	MH600849	USA	N
A/Minnesota/36/2019	2019-05-04	MN222570	USA	N
A/Minnesota/38/2017	2017-10-26	CY258332	USA	N
A/Minnesota/38/2018	2018-05-10	MH600856	USA	N
A/Minnesota/39/2017	2017-10-31	CY258324	USA	N
A/Minnesota/39/2018	2018-05-12	MH600865	USA	N
A/Minnesota/39/2019	2019-05-11	MN372903	USA	N
A/Minnesota/40/2017	2017-11-05	CY260763	USA	N
A/Minnesota/40/2018	2018-07-18	MH898269	USA	N
A/Minnesota/41/2015	2015-09-14	KU589875	USA	N
A/Minnesota/41/2017	2017-11-06	MH126962	USA	N
A/Minnesota/41/2019	2019-05-25	MN372911	USA	N
A/Minnesota/42/2017	2017-11-19	CY261583	USA	N
A/Minnesota/42/2018	2018-08-20	MK181767	USA	N
A/Minnesota/42/2019	2019-05-28	MN319214	USA	N
A/Minnesota/43/2016	2016-03-28	KX416408	USA	N
A/Minnesota/44/2019	2019-06-18	MN319222	USA	N
A/Minnesota/46/2017	2017-12-08	CY264806	USA	N
A/Minnesota/47/2015	2015-11-16	KU591938	USA	N
A/Minnesota/47/2018	2018-09-07	MK181743	USA	N
A/Minnesota/48/2018	2018-09-01	MK181883	USA	N
A/Minnesota/49/2019	2019-07-20	MN507347	USA	N
A/Minnesota/50/2017	2017-12-21	MG974610	USA	N
A/Minnesota/50/2018	2018-09-10	MK181867	USA	N
A/Minnesota/50/2019	2019-08-08	MN552628	USA	N
A/Minnesota/51/2018	2018-10-17	MK265403	USA	N
A/Minnesota/52/2015	2015-12-13	KX413561	USA	N
A/Minnesota/53/2018	2018-11-03	MK363329	USA	N
A/Minnesota/54/2018	2018-10-26	MK398559	USA	N
A/Minnesota/54/2019	2019-10-19	MN881879	USA	N
A/Minnesota/57/2019	2019-11-06	MN948801	USA	N
A/Minnesota/58/2018	2018-11-21	MK474730	USA	N
A/Minnesota/59/2016	2016-04-24	KX417000	USA	N
A/Minnesota/59/2019	2019-11-13	MN975819	USA	N
A/Minnesota/61/2019	2019-11-19	MN975835	USA	N
A/Minnesota/63/2018	2018-12-13	MK623156	USA	N
A/Minnesota/63/2019	2019-11-25	MT031424	USA	N
A/Minnesota/64/2019	2019-11-30	MT031436	USA	N
A/Minnesota/65/2016	2016-04-15	KX917484	USA	N
A/Minnesota/65/2018	2018-12-18	MK624338	USA	N
A/Minnesota/67/2018	2018-12-27	MK624348	USA	N
A/Minnesota/69/2016	2016-04-11	KX917852	USA	N
A/Minnesota/71/2016	2016-06-23	KX916468	USA	N
A/Minnesota/72/2016	2016-10-02	KY116342	USA	N
A/Minnesota/73/2016	2016-10-04	KY116350	USA	N
A/Minnesota/73/2019	2019-12-31	MT169010	USA	N
A/Minnesota/74/2016	2016-10-05	KY116646	USA	N
A/Minnesota/75/2016	2016-10-10	KY116654	USA	N
A/Minnesota/76/2016	2016-10-25	CY213850	USA	N
A/Minnesota/76/2019	2019-12-31	MT245786	USA	N
A/Minnesota/78/2016	2016-11-03	CY209360	USA	N
A/Minnesota/79/2016	2016-11-12	CY209368	USA	N
A/Minnesota/80/2016	2016-11-12	CY211755	USA	N
A/Minnesota/85/2016	2016-12-19	CY213130	USA	N
A/Mississippi/01/2015	2015-01-04	KT841206	USA	N
A/Mississippi/01/2019	2019-01-03	MK745376	USA	N
A/Mississippi/02/2015	2015-01-05	KT841988	USA	N
A/Mississippi/02/2016	2016-02-04	KX413086	USA	N
A/Mississippi/02/2017	2017-01-12	CY215162	USA	N
A/Mississippi/03/2015	2015-01-05	KT841495	USA	N
A/Mississippi/03/2017	2017-01-25	CY216777	USA	N
A/Mississippi/03/2020	2020-01-07	MT245794	USA	N
A/Mississippi/04/2017	2017-01-27	CY216785	USA	N
A/Mississippi/06/2018	2018-01-08	MH126969	USA	N
A/Mississippi/06/2019	2019-01-23	MN001808	USA	N
A/Mississippi/08/2017	2017-02-23	CY222917	USA	N
A/Mississippi/10/2015	2015-02-23	KT842339	USA	N
A/Mississippi/10/2017	2017-03-13	CY231099	USA	N
A/Mississippi/10/2018	2018-02-06	MH586156	USA	N
A/Mississippi/10/2019	2019-02-04	MK772423	USA	N
A/Mississippi/11/2016	2016-03-05	KX415864	USA	N
A/Mississippi/11/2018	2018-02-08	MH586164	USA	N
A/Mississippi/11/2019	2019-02-07	MK772431	USA	N
A/Mississippi/12/2017	2017-03-20	CY228533	USA	N
A/Mississippi/13/2015	2015-08-13	KU590951	USA	N
A/Mississippi/13/2017	2017-03-23	CY228541	USA	N
A/Mississippi/13/2019	2019-02-13	MK857168	USA	N
A/Mississippi/14/2019	2019-02-18	MK857177	USA	N
A/Mississippi/16/2016	2016-04-18	KX917428	USA	N
A/Mississippi/16/2017	2017-04-21	CY234674	USA	N
A/Mississippi/16/2018	2018-12-26	MK624363	USA	N
A/Mississippi/16/2019	2019-03-04	MK857185	USA	N
A/Mississippi/17/2016	2016-11-23	CY211716	USA	N
A/Mississippi/17/2017	2017-08-23	CY244761	USA	N
A/Mississippi/17/2019	2019-03-06	MK857193	USA	N
A/Mississippi/18/2016	2016-11-29	CY211723	USA	N
A/Mississippi/19/2016	2016-12-06	CY213266	USA	N
A/Mississippi/19/2019	2019-03-13	MN001837	USA	N
A/Mississippi/20/2016	2016-12-13	CY213274	USA	N
A/Mississippi/20/2017	2017-09-03	CY245286	USA	N
A/Mississippi/21/2019	2019-03-21	MN001845	USA	N
A/Mississippi/23/2019	2019-04-01	MN222597	USA	N
A/Mississippi/24/2019	2019-04-02	MN222605	USA	N
A/Mississippi/25/2019	2019-04-11	MN084071	USA	N
A/Mississippi/26/2019	2019-04-19	MN424143	USA	N
A/Mississippi/28/2019	2019-10-15	MN819863	USA	N
A/Mississippi/29/2019	2019-10-15	MN820211	USA	N
A/Mississippi/30/2017	2017-11-07	CY260074	USA	N
A/Mississippi/32/2017	2017-11-10	CY261511	USA	N
A/Mississippi/35/2019	2019-12-02	MT031459	USA	N
A/Mississippi/36/2017	2017-12-01	MH082509	USA	N
A/Mississippi/37/2019	2019-12-11	MT056394	USA	N
A/Mississippi/39/2019	2019-12-26	MT169036	USA	N
A/Mississippi/40/2019	2019-12-30	MT169052	USA	N
A/Mississippi/41/2019	2019-12-31	MT169068	USA	N
A/Mississippi/5894/2017	2017-01-10	CY244006	USA	N
A/Mississippi/6049/2017	2017-02-21	CY244161	USA	N
A/Mississippi/6050/2017	2017-02-02	CY244162	USA	N
A/Mississippi/6051/2017	2017-02-10	CY244163	USA	N
A/Mississippi/6052/2017	2017-02-03	CY244164	USA	N
A/Mississippi/6053/2017	2017-02-05	CY244165	USA	N
A/Mississippi/6055/2017	2017-02-08	CY244167	USA	N
A/Mississippi/6121/2017	2017-03-01	CY244233	USA	N
A/Mississippi/6280/2017	2017-02-22	CY244392	USA	N
A/Mississippi/6281/2017	2017-02-25	CY244393	USA	N
A/Mississippi/6282/2017	2017-03-07	CY244394	USA	N
A/Mississippi/6283/2017	2017-03-09	CY244395	USA	N
A/Mississippi/6284/2017	2017-03-10	CY244396	USA	N
A/Mississippi/6285/2017	2017-03-01	CY244397	USA	N
A/Mississippi/6286/2017	2017-02-28	CY244398	USA	N
A/Mississippi/6372/2017	2017-10-05	MH294719	USA	N
A/Mississippi/6374/2017	2017-09-29	MH294721	USA	N
A/Mississippi/6375/2017	2017-10-02	MH294722	USA	N
A/Mississippi/6480/2017	2017-12-06	MH294846	USA	N
A/Mississippi/6637/2017	2017-10-24	MH778985	USA	N
A/Mississippi/7372/2018	2018-02-15	MK502752	USA	N
A/Mississippi/7374/2018	2018-02-10	MK502768	USA	N
A/Mississippi/7420/2018	2018-02-11	MK502776	USA	N
A/Mississippi/7421/2018	2018-02-08	MK502284	USA	N
A/Mississippi/8270/2018	2018-12-28	MK785863	USA	N
A/Mississippi/8271/2018	2018-12-28	MK785450	USA	N
A/Mississippi/8272/2018	2018-12-28	MK785871	USA	N
A/Mississippi/8276/2019	2019-01-16	MK785451	USA	N
A/Mississippi/8277/2019	2019-01-21	MK785903	USA	N
A/Mississippi/8278/2019	2019-01-23	MK785911	USA	N
A/Mississippi/8279/2019	2019-01-24	MK785452	USA	N
A/Mississippi/8280/2019	2019-01-26	MK785919	USA	N
A/Mississippi/8282/2019	2019-02-01	MK785927	USA	N
A/Mississippi/8283/2019	2019-02-02	MK785935	USA	N
A/Mississippi/8285/2019	2019-02-03	MK785951	USA	N
A/Mississippi/8286/2019	2019-02-03	MK785959	USA	N
A/Mississippi/8287/2019	2019-02-03	MK785454	USA	N
A/Mississippi/8289/2019	2019-02-04	MK785455	USA	N
A/Mississippi/8462/2019	2019-01-28	MK839851	USA	N
A/Mississippi/8463/2019	2019-01-29	MK839289	USA	N
A/Mississippi/8466/2019	2019-02-04	MK839875	USA	N
A/Mississippi/8774/2019	2019-03-02	MK912798	USA	N
A/Mississippi/8964/2019	2019-02-12	MK927227	USA	N
A/Mississippi/9075/2019	2019-03-01	MN169680	USA	N
A/Mississippi/9076/2019	2019-03-02	MN169688	USA	N
A/Mississippi/9691/2019	2019-03-06	MN081314	USA	N
A/Missouri/01/2015	2015-01-03	KT841878	USA	N
A/Missouri/01/2017	2017-01-07	CY215026	USA	N
A/Missouri/02/2015	2015-01-04	KT841905	USA	N
A/Missouri/02/2016	2016-01-26	KX412902	USA	N
A/Missouri/02/2018	2018-01-02	MH082523	USA	N
A/Missouri/03/2017	2017-01-05	CY216769	USA	N
A/Missouri/04/2018	2018-01-10	MH082532	USA	N
A/Missouri/05/2015	2015-01-28	KT835718	USA	N
A/Missouri/05/2019	2019-01-23	MK744392	USA	N
A/Missouri/06/2017	2017-01-27	CY220767	USA	N
A/Missouri/08/2015	2015-01-22	KY089190	USA	N
A/Missouri/09/2015	2015-01-24	KT836319	USA	N
A/Missouri/09/2017	2017-02-21	CY222925	USA	N
A/Missouri/11/2018	2018-01-29	MH586180	USA	N
A/Missouri/12/2015	2015-01-31	KT835995	USA	N
A/Missouri/12/2019	2019-02-19	MK857201	USA	N
A/Missouri/14/2018	2018-02-12	MH586188	USA	N
A/Missouri/14/2019	2019-02-20	MK857209	USA	N
A/Missouri/15/2019	2019-02-26	MN001893	USA	N
A/Missouri/16/2016	2016-07-09	KX916804	USA	N
A/Missouri/17/2019	2019-03-09	MN001901	USA	N
A/Missouri/18/2018	2018-02-26	MH246599	USA	N
A/Missouri/19/2016	2016-11-21	CY210631	USA	N
A/Missouri/19/2019	2019-03-12	MN222613	USA	N
A/Missouri/20/2018	2018-03-02	MH246607	USA	N
A/Missouri/20/2019	2019-03-16	MN247418	USA	N
A/Missouri/21/2016	2016-12-19	CY213290	USA	N
A/Missouri/21/2018	2018-03-09	MH358726	USA	N
A/Missouri/23/2018	2018-03-11	MH358734	USA	N
A/Missouri/24/2016	2016-01-18	CY243423	USA	N
A/Missouri/25/2019	2019-06-03	MN372927	USA	N
A/Missouri/26/2018	2018-03-20	MK241340	USA	N
A/Missouri/27/2018	2018-03-21	MK241300	USA	N
A/Missouri/27/2019	2019-08-06	MN581608	USA	N
A/Missouri/28/2017	2017-08-14	CY243758	USA	N
A/Missouri/29/2017	2017-09-24	CY250011	USA	N
A/Missouri/30/2018	2018-01-23	MH601738	USA	N
A/Missouri/30/2019	2019-12-21	MT169076	USA	N
A/Missouri/31/2017	2017-10-19	CY250675	USA	N
A/Missouri/31/2018	2018-01-23	MH601745	USA	N
A/Missouri/32/2017	2017-10-24	CY250683	USA	N
A/Missouri/34/2018	2018-02-02	MH601769	USA	N
A/Missouri/35/2017	2017-11-01	CY260873	USA	N
A/Missouri/37/2017	2017-11-08	CY260889	USA	N
A/Missouri/37098/2018	2018-01-09	MH701700	USA	N
A/Missouri/37100/2018	2018-01-17	MH701708	USA	N
A/Missouri/37135/2018	2018-03-30	MH701716	USA	N
A/Missouri/38/2018	2018-02-12	MH601796	USA	N
A/Missouri/40/2017	2017-11-15	CY260905	USA	N
A/Missouri/41/2015	2015-10-04	KU590396	USA	N
A/Missouri/42/2015	2015-10-04	KU591314	USA	N
A/Missouri/43/2017	2017-11-25	CY261607	USA	N
A/Missouri/45/2017	2017-11-26	CY264814	USA	N
A/Missouri/45/2018	2018-04-11	MH540901	USA	N
A/Missouri/47/2018	2018-05-17	MH600873	USA	N
A/Missouri/49/2017	2017-12-15	MG974634	USA	N
A/Missouri/53/2017	2017-12-27	MH131598	USA	N
A/Missouri/57/2018	2018-12-12	MK623164	USA	N
A/Missouri/8776/2019	2019-03-02	MK912806	USA	N
A/Missouri/8778/2019	2019-02-27	MK912822	USA	N
A/Missouri/9077/2019	2019-02-27	MN169696	USA	N
A/Missouri/9078/2019	2019-02-27	MN169704	USA	N
A/Missouri/9080/2019	2019-02-27	MN169720	USA	N
A/Missouri/9083/2019	2019-03-07	MN169744	USA	N
A/Missouri/9373/2019	2019-03-28	MK960612	USA	N
A/Missouri/9374/2019	2019-03-28	MK960620	USA	N
A/Missouri/9693/2019	2019-04-18	MN081330	USA	N
A/Missouri/9695/2019	2019-04-19	MN081346	USA	N
A/Missouri/9697/2019	2019-04-16	MN081362	USA	N
A/Missouri/NHRC-OID_37266/2019	2019-02-25	MK899274	USA	N
A/Missouri/NHRC_36707/2015	2015-01-09	KT205938	USA	N
A/Missouri/NHRC_36718/2015	2015-01-29	KT205941	USA	N
A/Missouri/NHRC_36730/2015	2015-03-02	KT374341	USA	N
A/Missouri/NHRC_36943/2016	2016-12-16	MF182510	USA	N
A/Missouri/NHRC_36946/2017	2017-01-11	MF182512	USA	N
A/Missouri/NHRC_36956/2017	2017-02-15	MF182513	USA	N
A/Missouri/NHRC_36958/2017	2017-02-24	MF182514	USA	N
A/Missouri/NHRC_37141/2018	2018-04-06	MK898400	USA	N
A/Montana/01/2017	2017-01-01	CY215066	USA	N
A/Montana/01/2019	2019-01-01	MK624371	USA	N
A/Montana/02/2018	2018-01-04	MH082564	USA	N
A/Montana/04/2018	2018-01-10	MH127001	USA	N
A/Montana/04/2019	2019-01-10	MK745424	USA	N
A/Montana/05/2017	2017-01-23	CY219194	USA	N
A/Montana/06/2015	2015-01-28	KY089188	USA	N
A/Montana/06/2017	2017-01-26	CY220647	USA	N
A/Montana/06/2020	2020-01-14	MT245862	USA	N
A/Montana/07/2015	2015-03-07	KT843271	USA	N
A/Montana/07/2017	2017-01-29	CY220639	USA	N
A/Montana/07/2018	2018-01-17	MH127010	USA	N
A/Montana/07/2020	2020-01-15	MT245881	USA	N
A/Montana/08/2019	2019-01-26	MK744416	USA	N
A/Montana/09/2015	2015-01-23	KT835742	USA	N
A/Montana/09/2016	2016-01-12	KX414297	USA	N
A/Montana/09/2018	2018-02-04	MH586196	USA	N
A/Montana/10/2017	2017-02-26	CY224126	USA	N
A/Montana/12/2017	2017-03-05	CY227918	USA	N
A/Montana/13/2018	2018-02-11	MH233439	USA	N
A/Montana/14/2016	2016-02-02	KX414737	USA	N
A/Montana/14/2019	2019-02-03	MK857217	USA	N
A/Montana/15/2019	2019-02-11	MK857225	USA	N
A/Montana/16/2017	2017-09-08	CY247070	USA	N
A/Montana/16/2018	2018-02-18	MH307098	USA	N
A/Montana/17/2015	2015-08-13	KT843915	USA	N
A/Montana/19/2015	2015-09-13	KU590063	USA	N
A/Montana/20/2017	2017-10-09	CY255997	USA	N
A/Montana/21/2018	2018-03-12	MH358742	USA	N
A/Montana/21/2019	2019-02-27	MN001949	USA	N
A/Montana/22/2017	2017-10-11	CY256013	USA	N
A/Montana/23/2017	2017-10-15	CY255989	USA	N
A/Montana/23/2018	2018-03-20	MH358750	USA	N
A/Montana/24/2017	2017-10-17	CY255981	USA	N
A/Montana/24/2018	2018-03-22	MH600884	USA	N
A/Montana/25/2016	2016-02-29	KX415368	USA	N
A/Montana/27/2015	2015-09-20	KU591464	USA	N
A/Montana/27/2017	2017-10-19	CY258436	USA	N
A/Montana/27/2019	2019-03-24	MN222637	USA	N
A/Montana/29/2015	2015-09-26	KU589968	USA	N
A/Montana/29/2019	2019-04-02	MN084816	USA	N
A/Montana/30/2015	2015-10-06	KU592165	USA	N
A/Montana/30/2017	2017-10-30	CY258444	USA	N
A/Montana/31/2015	2015-10-07	KU589847	USA	N
A/Montana/32/2017	2017-11-04	CY258460	USA	N
A/Montana/32/2019	2019-04-08	MN084824	USA	N
A/Montana/34/2019	2019-04-17	MN222642	USA	N
A/Montana/35/2019	2019-04-20	MN222650	USA	N
A/Montana/36/2015	2015-12-10	KX413617	USA	N
A/Montana/36/2017	2017-11-15	CY261551	USA	N
A/Montana/37/2018	2018-10-11	MK292649	USA	N
A/Montana/38/2017	2017-11-26	CY261575	USA	N
A/Montana/38/2018	2018-11-15	MK398469	USA	N
A/Montana/38/2019	2019-07-14	MN424171	USA	N
A/Montana/39/2015	2015-12-24	KX413713	USA	N
A/Montana/39/2017	2017-11-28	CY261567	USA	N
A/Montana/40/2017	2017-12-01	CY264862	USA	N
A/Montana/41/2017	2017-12-07	CY264870	USA	N
A/Montana/41/2019	2019-09-07	MN638619	USA	N
A/Montana/42/2017	2017-12-11	CY264878	USA	N
A/Montana/42/2018	2018-12-08	MK623172	USA	N
A/Montana/42/2019	2019-09-13	MN974396	USA	N
A/Montana/43/2018	2018-12-12	MK623180	USA	N
A/Montana/43/2019	2019-09-15	MN755040	USA	N
A/Montana/44/2019	2019-09-17	MN755048	USA	N
A/Montana/45/2017	2017-12-24	MG831041	USA	N
A/Montana/45/2019	2019-09-26	MN755393	USA	N
A/Montana/46/2016	2016-09-09	KY003479	USA	N
A/Montana/46/2017	2017-12-26	MG831050	USA	N
A/Montana/46/2019	2019-09-27	MN755401	USA	N
A/Montana/4770/2015	2015-02-10	CY194023	USA	N
A/Montana/48/2018	2018-12-27	MN001969	USA	N
A/Montana/49/2019	2019-10-14	MN820227	USA	N
A/Montana/50/2019	2019-10-14	MN820235	USA	N
A/Montana/52/2016	2016-10-20	KY289473	USA	N
A/Montana/52/2019	2019-10-19	MN881887	USA	N
A/Montana/53/2016	2016-10-21	KY289332	USA	N
A/Montana/55/2019	2019-11-13	MN948841	USA	N
A/Montana/56/2019	2019-11-14	MN975866	USA	N
A/Montana/58/2016	2016-11-05	CY209384	USA	N
A/Montana/60/2019	2019-12-01	MT031482	USA	N
A/Montana/62/2016	2016-11-22	CY211810	USA	N
A/Montana/63/2019	2019-12-09	MT031515	USA	N
A/Montana/64/2016	2016-12-03	CY211818	USA	N
A/Montana/67/2016	2016-12-09	CY212938	USA	N
A/Montana/68/2016	2016-12-20	CY214194	USA	N
A/Montana/68/2019	2019-12-25	MT056442	USA	N
A/Montana/69/2016	2016-12-23	CY214202	USA	N
A/Montana/70/2016	2016-12-29	CY215058	USA	N
A/Montana/72/2016	2016-02-07	CY222965	USA	N
A/Montana/8008/2019	2019-01-10	MK743474	USA	N
A/Montana/8148/2019	2019-01-24	MK762981	USA	N
A/Montana/8149/2019	2019-01-28	MK763672	USA	N
A/Montana/8150/2019	2019-01-28	MK763680	USA	N
A/Montana/8613/2019	2019-02-04	MK869275	USA	N
A/Montana/8781/2019	2019-03-11	MK912838	USA	N
A/Montana/9376/2019	2019-03-28	MK960628	USA	N
A/Moscow/1/2019	2019-01-09	MK495277	Russia	N
A/Moscow/119/2019	2019-03-14	MN061083	Russia	N
A/Moscow/121/2019	2019-03-14	MN061163	Russia	N
A/Moscow/122/2019	2019-03-14	MN061171	Russia	N
A/Moscow/CRIE-07/2016	2016-11-08	KY288892	Russia	N
A/Moscow/CRIE-08/2016	2016-11-02	KY288895	Russia	N
A/Moscow/CRIE-09/2016	2016-11-02	KY288898	Russia	N
A/Moscow/CRIE-10/2016	2016-11-11	KY288900	Russia	N
A/Moscow/CRIE-141/2015	2015-01-27	KU198899	Russia	N
A/Moscow/CRIE-226/2017	2017-01-31	MF736988	Russia	N
A/Nebraska/01/2018	2018-01-01	MH898304	USA	N
A/Nebraska/01/2019	2019-01-03	MK745440	USA	N
A/Nebraska/02/2015	2015-01-05	KT841705	USA	N
A/Nebraska/02/2017	2017-01-10	CY216409	USA	N
A/Nebraska/02/2018	2018-01-06	MH082580	USA	N
A/Nebraska/03/2017	2017-01-19	CY221902	USA	N
A/Nebraska/03/2018	2018-01-16	MH080107	USA	N
A/Nebraska/04/2017	2017-02-02	CY221894	USA	N
A/Nebraska/05/2015	2015-01-31	KT835729	USA	N
A/Nebraska/06/2017	2017-02-27	CY223317	USA	N
A/Nebraska/06/2019	2019-01-23	MK772481	USA	N
A/Nebraska/07/2017	2017-07-31	CY243463	USA	N
A/Nebraska/08/2018	2018-07-20	MH898309	USA	N
A/Nebraska/09/2015	2015-01-27	KY089334	USA	N
A/Nebraska/09/2017	2017-09-07	CY245246	USA	N
A/Nebraska/09/2018	2018-11-06	MK363353	USA	N
A/Nebraska/10/2016	2016-02-17	KX415024	USA	N
A/Nebraska/10/2017	2017-09-17	CY247062	USA	N
A/Nebraska/10/2019	2019-07-03	MN424179	USA	N
A/Nebraska/11/2019	2019-07-09	MN424187	USA	N
A/Nebraska/13/2018	2018-12-02	MK474676	USA	N
A/Nebraska/13/2019	2019-08-24	MN581624	USA	N
A/Nebraska/15/2017	2017-11-19	CY261495	USA	N
A/Nebraska/15/2019	2019-10-21	MN820243	USA	N
A/Nebraska/16/2015	2015-03-23	KT843071	USA	N
A/Nebraska/16/2017	2017-11-23	CY261503	USA	N
A/Nebraska/16/2018	2018-12-10	MK555106	USA	N
A/Nebraska/17/2015	2015-07-15	KU589648	USA	N
A/Nebraska/17/2017	2017-12-04	CY264766	USA	N
A/Nebraska/17/2018	2018-12-17	MK555114	USA	N
A/Nebraska/19/2015	2015-10-23	KX885896	USA	N
A/Nebraska/19/2017	2017-12-11	MG974698	USA	N
A/Nebraska/20/2016	2016-06-27	KX916476	USA	N
A/Nebraska/20/2017	2017-12-17	MG974706	USA	N
A/Nebraska/21/2016	2016-08-11	KX916892	USA	N
A/Nebraska/23/2016	2016-09-06	KY115926	USA	N
A/Nebraska/24/2016	2016-09-19	KY115918	USA	N
A/Nebraska/26/2016	2016-12-06	CY212746	USA	N
A/Nebraska/27/2016	2016-12-13	CY212754	USA	N
A/Nebraska/4441/2015	2015-01-08	CY193694	USA	N
A/Nebraska/4442/2015	2015-01-08	CY193695	USA	N
A/Nebraska/4443/2015	2015-01-08	CY193696	USA	N
A/Nebraska/4538/2015	2015-01-13	CY193791	USA	N
A/Nebraska/4539/2015	2015-01-14	CY193792	USA	N
A/Nebraska/4540/2015	2015-01-15	CY193793	USA	N
A/Nebraska/4668/2015	2015-01-22	CY193921	USA	N
A/Nebraska/4669/2015	2015-01-22	CY193922	USA	N
A/Nebraska/4670/2015	2015-01-22	CY193923	USA	N
A/Nebraska/4673/2015	2015-01-27	CY193926	USA	N
A/Nebraska/4879/2015	2015-05-28	CY208106	USA	N
